date,close,open,high,low,volumn
20180803,83300,84000,84100,83100,1928574
20180802,83200,85000,85600,82900,3373964
20180801,85600,85900,86400,85100,2265008
20180731,86300,85200,86300,84500,2804543
20180730,85900,86200,86400,85100,2301941
20180727,86100,83700,86400,83100,4943923
20180726,83100,81300,83800,78600,6218102
20180725,80500,83400,84000,80200,4154596
20180724,83600,82500,83800,81700,4023740
20180723,81700,86300,86400,81200,7076375
20180720,87900,89700,90000,87200,3726334
20180719,90300,90400,91200,90300,2383489
20180718,89300,89700,91000,89100,1937496
20180717,88600,90100,90200,88500,1570129
20180716,89300,88700,89300,87800,1896459
20180713,88800,86500,90100,86500,4535954
20180712,85600,86800,87000,85400,3032951
20180711,86800,86500,87600,85900,2037358
20180710,87300,88400,88600,86700,2002682
20180709,87600,85300,87600,85300,2127205
20180706,85300,86200,86200,83600,3482186
20180705,86200,85000,87300,85000,2059342
20180704,85000,87800,87800,84400,2744382
20180703,86100,85000,86500,84500,2817592
20180702,83700,85000,86000,83400,2033542
20180629,85700,83500,85700,83400,3003603
20180628,83500,83000,84000,82500,3838303
20180627,85200,85700,86400,85200,3798356
20180626,84300,82500,84800,82400,5518522
20180625,84800,88800,88800,84600,4420542
20180622,89500,87300,89500,86700,2569978
20180621,88500,88900,89300,87500,3274612
20180620,87800,85800,88100,85000,4183210
20180619,84100,84100,86100,83700,3824878
20180618,84000,86800,86900,82300,4723914
20180615,87000,87400,87800,86100,2945006
20180614,86300,88300,88300,86300,4646948
20180612,88400,89900,90100,88200,1876012
20180611,89200,88800,90200,88100,2535933
20180608,88400,91000,91000,87600,4579508
20180607,90900,92700,92700,90600,2754947
20180605,91000,89800,91300,89800,2758383
20180604,89800,91000,92400,89700,3141036
20180601,91400,90800,92200,89600,4790644
20180531,93400,94500,94700,92800,5996671
20180530,95000,94800,95700,92800,3808299
20180529,94800,94600,96100,93500,2733549
20180528,94500,94600,95600,93700,2505786
20180525,95200,94300,97700,93900,4145819
20180524,94600,95300,95900,94600,3220029
20180523,95300,91900,95500,91500,10378915
20180521,89100,88400,89400,87400,3262983
20180518,87900,87200,88000,85400,2187789
20180517,86700,88400,88700,86000,2864278
20180516,87000,85000,87000,84800,3040180
20180515,84600,86000,86000,83900,2239370
20180514,85400,86100,86300,84500,1959236
20180511,86100,86600,86800,85400,2107047
20180510,85800,85400,85800,84500,3274963
20180509,83400,84300,84700,83100,2284106
20180508,83500,84500,85300,83200,2979605
20180504,83000,83500,84100,82600,2696141
20180503,82900,83200,83900,82800,2362792
20180502,83100,85900,86000,82900,5444240
20180430,84500,85400,85700,84000,4653153
20180427,87100,88500,88800,86800,4961867
20180426,86500,83800,87100,83300,7551747
20180425,82400,81600,83000,80900,3845661
20180424,82100,83300,83400,80400,6804182
20180423,84400,83400,85300,83300,3002461
20180420,84400,85900,86300,84000,4590640
20180419,87900,85800,88200,85300,5901782
20180418,84600,84100,85400,83700,3375376
20180417,82800,83900,84000,82300,2501282
20180416,84000,84200,84700,83400,1489091
20180413,84200,85000,85900,83900,3032369
20180412,84000,81900,85100,81500,5725102
20180411,81200,82400,82400,81000,3053453
20180410,80400,80000,80800,79200,2924054
20180409,80600,80000,81200,79300,3231256
20180406,80300,80000,80600,79300,5693281
20180405,82900,82200,83200,81200,3255356
20180404,80400,82500,83000,80000,2964537
20180403,81800,80300,81800,78700,3553815
20180402,81300,81700,82800,81100,2342407
20180330,81300,81200,83300,81100,3681673
20180329,80300,80800,81300,79600,3618849
20180328,80300,79900,82200,79600,4820673
20180327,81400,84700,84800,80100,7184488
20180326,84000,82300,84000,81000,6121334
20180323,83100,85100,86400,82800,7310739
20180322,88600,88800,89300,88000,2698169
20180321,88400,89600,90300,88000,2942484
20180320,89600,88900,89700,88000,3083666
20180319,89900,90200,91500,89500,3743718
20180316,89800,88500,89900,87200,5006430
20180315,89600,90300,90500,88600,4106667
20180314,90700,89300,90900,89200,5939290
20180313,90000,88000,90000,87600,8775741
20180312,84900,84900,85600,84300,2744795
20180309,83300,84400,85900,83100,5159197
20180308,83500,83900,84300,81800,4440076
20180307,82700,83600,83900,82400,4992841
20180306,82400,80100,82500,80000,7588369
20180305,78300,77500,78900,77100,3415061
20180302,77400,76300,77800,75900,2673152
20180228,76800,78600,79200,76600,3102987
20180227,78700,78700,79200,78400,3395415
20180226,77500,78300,78500,77200,2327486
20180223,77300,76100,77600,76000,2404473
20180222,75900,76100,77400,75700,1879461
20180221,76900,75800,77200,75800,2653870
20180220,75500,76400,76500,75200,2507719
20180219,76500,78900,79000,76100,3350577
20180214,77600,78400,79500,77000,3943628
20180213,77700,75900,77800,75800,7814367
20180212,74500,73700,74700,73400,3317876
20180209,73400,72100,74200,72000,5118112
20180208,73900,71900,74200,71600,5586858
20180207,71100,73700,73800,70800,6007913
20180206,70200,69100,71300,68200,5679965
20180205,70200,70200,70900,69800,4058439
20180202,72200,74500,74600,71800,4343077
20180201,74400,74900,75200,74000,2987816
20180131,73500,72200,74500,72200,5800892
20180130,73100,74300,74600,73100,5443314
20180129,75300,76500,77000,75000,3618328
20180126,75500,76400,76400,74200,4296170
20180125,75800,73400,76200,72300,8758929
20180124,72400,71600,73200,71500,3802939
20180123,71300,71800,72200,70900,4671451
20180122,71100,72800,72800,70700,5610463
20180119,73300,75300,75800,73000,3898397
20180118,75200,75800,76800,74600,6199800
20180117,74100,74400,75000,73700,3256624
20180116,74400,72700,74700,72700,4383229
20180115,72700,73700,74100,72500,3541267
20180112,74400,73300,74500,72000,5659087
20180111,72600,73200,73800,72000,3777867
20180110,72900,76700,76700,72500,9123901
20180109,76900,78300,78900,76300,3343874
20180108,78200,79500,80000,77400,2960495
20180105,79300,78400,79400,78300,3395065
20180104,77100,78700,79700,77100,3729328
20180103,77700,78100,78800,77300,3097644
20180102,76600,77300,77300,76200,2014838
20171228,76500,75400,76700,75200,2825939
20171227,75100,75400,76400,74400,4291492
20171226,74000,76600,76900,74000,6253943
20171222,76700,76400,77400,76300,3382954
20171221,77000,80200,80600,76900,4831110
20171220,80100,80900,81600,79900,4375810
20171219,80200,78400,80800,78200,6782210
20171218,77200,76200,77300,75900,3237589
20171215,75700,77100,77400,75600,3374982
20171214,76000,77200,77600,76000,5552560
20171213,76800,77400,77500,76200,3485920
20171212,77800,79000,79000,77100,3746347
20171211,78700,79000,79500,78000,2493176
20171208,78700,77500,78900,76900,3660716
20171207,76000,78300,78300,75600,5166136
20171206,77500,78700,79500,77200,3934238
20171205,77900,77600,79300,77100,3736568
20171204,79100,77600,79200,76800,4115752
20171201,77400,77200,78800,77100,4340592
20171130,76800,77000,79600,76800,11213748
20171129,82400,82900,83000,82100,2418748
20171128,82600,82900,83600,81200,4083144
20171127,83100,86000,86700,82000,7105679
20171124,85100,84500,85400,83900,2073899
20171123,84700,86200,86300,84500,2840382
20171122,86800,86500,87700,86100,4592670
20171121,85000,83200,85000,82800,5540888
20171120,82100,83300,83300,81800,2988991
20171117,83000,83300,84800,83000,4339090
20171116,82500,82300,82800,81200,3053355
20171115,82000,83800,84200,81900,3207872
20171114,83400,83000,84500,82900,3399976
20171113,82300,82000,83100,81800,2955651
20171110,82000,81300,82800,81000,2357772
20171109,82400,83200,83500,81600,3748489
20171108,83200,82100,84400,81800,3396387
20171107,82400,82800,83300,82200,2993945
20171106,83500,83600,84100,83000,3131468
20171103,84400,83400,84500,81900,4050123
20171102,83400,85000,85100,83200,4464960
20171101,85300,86000,86000,84000,7067296
20171031,82200,80000,82700,79200,6620890
20171030,79800,79600,81300,79100,5883529
20171027,78400,78100,78700,76500,8929263
20171026,78700,80000,82000,78500,7528077
20171025,81700,82100,82600,80300,3914170
20171024,81800,84000,84200,81600,5236092
20171023,84700,82600,84700,82100,5388391
20171020,81200,79800,82400,79600,6911051
20171019,79000,79900,81800,79000,7675978
20171018,80900,83200,83300,80000,9070685
20171017,83500,85700,86600,83500,6802500
20171016,84200,86100,87100,82800,6985619
20171013,86100,88500,88500,85600,6101810
20171012,88500,89200,89900,88100,4313702
20171011,89100,89900,90300,88100,5500820
20171010,88700,86300,90000,85300,7956055
20170929,82900,83300,84300,82200,3579139
20170928,83200,84500,85500,82500,4817018
20170927,82400,83100,83800,81400,5029200
20170926,82100,84100,85100,81000,11035272
20170925,86300,83600,86300,83600,4656285
20170922,83100,82900,84300,82000,5970218
20170921,83100,81100,83400,80400,6961713
20170920,80700,79300,81200,78400,5268665
20170919,79200,80100,80500,78500,3934389
20170918,79700,78200,80000,77700,3638325
20170915,77200,76100,77500,76000,2725277
20170914,76800,76300,76800,75700,3366621
20170913,75700,75000,77400,74300,5682708
20170912,74700,74800,74900,73500,3676865
20170911,73800,73600,74200,73200,3321612
20170908,72600,72000,72800,71500,2868673
20170907,71400,71600,72800,71200,3877849
20170906,71700,69900,71900,69700,4476200
20170905,69900,68600,70100,67900,4026248
20170904,68100,66600,68600,66600,3234465
20170901,68700,69000,69200,67700,2304425
20170831,68600,68900,69300,68200,2054717
20170830,68500,68300,68900,68100,2118742
20170829,67600,67300,67900,66400,2967906
20170828,67900,68000,68100,67100,1843458
20170825,68400,68300,68400,67600,1862764
20170824,68100,68200,68700,67500,2333347
20170823,68000,69000,69000,67600,3072911
20170822,68200,67400,68200,67200,2208365
20170821,67200,67300,67800,66600,2570150
20170818,67000,64900,67300,64800,3130891
20170817,66400,66800,67300,66100,3709768
20170816,66100,67200,67300,65800,4714899
20170814,65100,63000,65100,62300,5239246
20170811,61400,62000,63000,61400,6664578
20170810,64400,63700,64600,63200,4474120
20170809,64200,65400,65400,64000,4037319
20170808,66300,64900,66400,64800,4372768
20170807,64100,64000,65000,63700,3518575
20170804,64000,65100,66100,63200,5938549
20170803,65500,67900,67900,65200,4992104
